'sigla','nome curso','local','modalidade'
'C-EXP-AFN','Curso Expedito de Apoio de Fogo Naval','CAAML-SEDE','PRS'
'C-EXP-ATCOM','Curso Expedito de Atualizaç?o para Comandantes','CAAML-SEDE','PRS'
'C-EXP-AT-OR','Curso Expedito de Atualizaç?o de Operadores de Radar','CAAML-SEDE','PRS'
'C-EXP-AT-OS','Curso Expedito de Atualizaç?o de Operadores de Sonar ','CAAML-SEDE','PRS'
'C-EXP-ATTAS-OF','Curso Expedito de Atualizaç?o de Tática Antissubmarino para Oficiais','CAAML-SEDE','PRS'
'C-EXP-AVAL-TAT','Curso Expedito de Avaliador Tático','CAAML-SEDE','PRS'
'C-EXP-DT-AADA-CV','Curso Expedito de Direç?o deTiro das Armas Acima D''Água das Corvetas Classe "INHAÚMA"','CAAML-SEDE','PRS'
'C-EXP-DT-AADA-FCG','Curso Expedito de Direç?o deTiro das Armas Acima D''Água das Fragatas Classe "GREENHALGH"','CAAML-SEDE','PRS'
'C-EXP-BAS-SAR','Curso Expedito Básico de Busca e Salvamento','CAAML-SEDE','PRS'
'C-EXP-BAS-SAR-EAD','Curso Expedito Básico de Busca e Salvamento a Distância','CAAML-SEDE','EAD'
'C-EXP-CCA-SAR','Curso Expedito de Coordenador na Cena de Aç?o SAR','CAAML-SEDE','PRS'
'C-EXP-COORD-SAR  ','Curso Expedito de Coordenaç?o de Miss?o SAR','CAAML-SEDE','PRS'
'C-EXP-FM-1600B','Curso Expedito de Computador FM-1600B para Oficiais e Praças ','CAAML-SEDE','PRS'
'C-EXP-FM-1600E','Curso Expedito de Computador FM-1600E para Oficiais e Praças','CAAML-SEDE','PRS'
'C-EXP-GE-PR','Curso Expedito de Guerra Eletrônica para Praças','CAAML-SEDE','PRS'
'C-EXP-INSIAC-DT-AAS-CV','Curso Expedito de Introduç?o ao Sistema de Armas e Informaç?es de Combate e Direç?o de Tiro de Armas Antissubmarino das Corvetas Classe "INHAÚMA"','CAAML-SEDE','PRS'
'C-EXP-INSIAC-DT-AAS-FCG','Curso Expedito de Introduç?o ao Sistema de Armas e Informaç?es de Combate e Direç?o de Tiro de Armas Antissubmarino das Corvetas Classe "GREENHALGH"','CAAML-SEDE','PRS'
'C-EXP-INSICOMFRAG','Curso Expedito de Introduç?o ao Sistema de Combate das Fragatas Classe "NITERÓI" Modernizadas','CAAML-SEDE','PRS'
'C-EXP-OIM','Curso Expedito de Operaç?o de Interdiç?o Marítima','CAAML-SEDE','PRS'
'C-EXP-OIM-SP','Curso Expedito de Operaç?es de Interdiç?o Marítima Semipresencial','CAAML-SEDE','SEMI'
'C-EXP-OFMAN','Curso Expedito de Oficial de Manobra','CAAML-SEDE','PRS'
'C-EXP-OPANF-OF','Curso Expedito de Operaç?es Anfíbias para Oficiais','CAAML-SEDE','PRS'
'C-EXP-OPFON','Curso Expedito de Operador Fonia','CAAML-SEDE','PRS'
'  C-EXP-OPFON-EAD','Curso Expedito de Operador Fonia a Distância','CAAML-SEDE','EAD'
'C-EXP-PCU-CV','Curso Expedito das Unidades Controladoras de Periféricos das Corvetas Classe "INHAÚMA"','CAAML-SEDE','PRS'
'C-EXP-SA-ADA','Curso Expedito Sistema de Armas Acima D''Água das Fragatas Classe "NITERÓI" Modernizadas','CAAML-SEDE','PRS'
'C-EXP-SA/AS','Curso Expedito de Armas Antissubmarino das Fragatas Classe "NITERÓI" Modernizadas','CAAML-SEDE','PRS'
