'numero_msg','mês','ano','om','assunto','referencia','transmitida','recebida'
'R161753Z','FEV',2023,'ABASTC ','c-exp-catalog of/pr, turma i/2023',,'nao','sim'
'R151832Z','MAR',2023,,'curso de graduado-master em 2023',,'nao','sim'
'R211523Z','MAR',2023,,'pgad/2023 - ciclo de palestras da esquadra - evt-03',,'nao','sim'
'R211753Z','MAR',2023,,'distinç?o no c-exp-man-micro-pr, turma 1/23.',,'nao','sim'
'P211303Z','MAR',2023,,'cancelamento de matrícula.',,'nao','sim'
'R231132Z','MAR',2023,,' curso especial de habilitaç?o para promoç?o a suboficial a distância (c-esp-habso-ead) em 2023',' R171732Z/MAR','nao','sim'
'P231306Z','MAR',2023,,'c-esp-paec-ead, referente à disciplina de matemática',' R151651Z/MAR','nao','sim'
'P231645Z','MAR',2023,'INDUST','c-esp-paec-ead',,'nao','sim'
'P231911Z','MAR',2023,'FORSUB',,,'nao','sim'
'R281650Z','MAR',2023,'ABASTC ','c-exp-catalog of/pr turma i/2023','R161753Z/FEV','nao','sim'
'R291601Z','MAR ',2023,'GPTMEC ','estágio de qualificaç?o ao apoio às atividades de mergulhadores de combate (eq-apat-mec) - turma 1/2023 - distinç?o em estágio',,'nao','sim'
'R302013Z','MAR',2023,'CIANBR','confirmaç?o de matrícula no curso expedito de boas práticas em serviços de alimentaç?o (c-exp-prat-sva)',,'nao','sim'
'P211303Z','MAR',2023,'CALEAO','cancelamento de matrícula.',,'nao','sim'
'R302015Z','MAR',2023,'CIASUB','processo seletivo ao curso expedito de nataç?o de resgate "a" (c-exp-natres-a) t1/2023 - resultado do teste físico',,'nao','sim'
'04-00417  ','ABR',2023,'COMFORS','cursos na área de logística da onu (formato virtual)  ',,'nao','sim'
'R032021Z','ABR',2023,'COMFORS','cursos na área de logística da onu (formato virtual)  ',,'nao','sim'
'R031933Z','ABR',2023,'FORSUB ','estágio de atualizaç?o em submarinos da classe riachuelo (ea-scr) t1/2023',,'nao','sim'
'R041913Z','ABR',2023,'CIANBR','confirmaç?o de matrícula no curso expedito de catalogaç?o para oficiais e praças (c-exp-catalog-of/pr) - turma i/2023 - presencial - 10abr a 08mai','R281650Z/MAR','nao','sim'
'R051853Z','ABR',2023,'COMESQ',' ciclo de palestras da esquadra - evt-extra -   tema: "divulgaç?o da nota doutrinária sobre o emprego de sistemas de aeronaves remotamente pilotadas (sarp) na mb"',,'nao','sim'
'R131533Z','ABR',2023,'FORSUB','estágio de qualificaç?o em manutenç?o dos submarinos da classe "tupi" (eq- mantupi) t1/2023',,'nao','sim'
'R131553Z','ABR',2023,'FORSUB','estágio de qualificaç?o em manutenç?o do submarino classe "tikuna" (eq-mantikuna) t1/2023',,'nao','sim'
'P191313Z','ABR',2023,'CALEAO','cancelamento de curso expedito semipresencial',,'nao','sim'
'P201653Z','ABR',2023,'FORPER','cancelamento de curso expedito semipresencial',,'nao','sim'
'P251123Z','ABR',2023,'COMESQ','cancelamento de curso expedito semipresencial',,'nao','sim'
'P301310Z','ABR',2023,'GPTMEC ','estágio de qualificaç?o ao apoio às atividades de mergulhadores de combate eq-apat-mec - turma ii/2023 (teste de suficiência física inicial).',,'nao','sim'
'R281931Z','ABR',2023,'PESMAR','inscritos no curso especial de unidade médica nível dois 2023 (c-esp-umnd 2023)',,'nao','sim'
'R281811Z','ABR',2023,'CIASUB',' estágio de qualificaç?o para grupo de manutenç?o e vigilância (eq-gmv) -lha- ',,'nao','sim'
'R282223Z','ABR',2023,'FLTAMZ','reclassificaç?o de natres-b como natres-a',,'nao','sim'
'R281803Z','ABR',2023,'CALEAO','municiamento/desmunicamento',,'nao','sim'
'R021915Z','MAI',2023,'CIASUB','matrícula em curso (eq-sci an/byg 501 mod 1d) t1/2023',,'nao','sim'
'P032001Z','MAI',2023,'FORSUB','apoio mil agata norte',,'nao','sim'
'R041635Z','MAI',2023,'CIASUB','estágio de qualificaç?o em manutenç?o do submarino classe "tikuna" (eq-mantikuna) t1/2023',,'nao','sim'
'R041531Z','MAI',2023,'COMESQ','inscritos no curso especial de unidade médica nível dois 2023 (c-esp-umnd 2023)',,'nao','sim'
'R041825Z','MAI',2023,'CIASUB','conclus?o de estágio- estágio de qualificaç?o em manutenç?o do "painel de controle dos mcp" e do "painel de monitoragem das baterias" (eq-man-pcm/pmb)',,'nao','sim'
'R031936Z','ABR',2023,'CALEAO','Inscriç?o em curso PGAD-2023 ','R241916Z/MAR','sim','nao'
'R171826Z','ABR',2023,'FORSUB',' Estágio de Qualificaç?o em Manutenç?o dos Submarinos da Classe "Tupi" (EQ- MANTUPI) T1/2023.   ','R131533Z/ABR','sim','nao'
'R171846Z','ABR',2023,'FORSUB','Estágio de Qualificaç?o em Manutenç?o do Submarino Classe "Tikuna" (EQ-MANTIKUNA) T1/2023','R131553Z/ABR','sim','nao'
'R201946Z','ABR',2023,'GPTMEC ','Estágio deQualificaç?o ao Apoio ás Atividades de Mergulhadores de Combate  EQ-ApAT-MEC - Turma II/2023',,'sim','nao'
'R202006Z','ABR',2023,'ENSINO','Curso Especial de Preparaç?o para o Acompanhamento da Especializaç?o Continuada a Distância (C-Esp-PAEC-EAD) ',' R281941Z/OUT/2022 ','sim','nao'
'R202016Z','ABR',2023,'ENSINO','C-Esp-PAEC-EAD - Marinheiros com média parcial insuficiente na disciplina de Português e Física. ',' R182051Z/ABR','sim','nao'
'R251850Z','ABR',2023,'ABASTC','Adestramento de SISCAT-BR',,'sim','nao'
'R281746Z','ABR',2023,'CPESFN','Inscricao no C-Esp-SegProtAu',,'sim','nao'
'R021816Z','ABR',2023,'FORSUB','APOIO MIL AGATA NORTE','R272221Z/ABR','sim','nao'
'R021817Z','MAI',2023,'FORSUB','Apoio MIL Ágata Norte  ',,'sim','nao'
'R021806Z','MAI',2023,'FORSUB','Apoio MIL PADRONIZAÇ?O OPERATIVA MEC-ADEST MAUT GÁS   ',,'sim','nao'
'P041826Z','MAI',2023,'PRTDIS','Processo de Promoç?o, Reengajamento e Licenciamento de 3?SG/CB/MNE-RM2 (SMV)  ',,'sim','nao'
